Matthew1:1 アブラハムの子であるダビデの子、イエス・キリストの系図。 
Matthew1:24 ヨセフは眠りからさめた後に、主の使が命じたとおりに、マリヤを妻に迎えた。 
Matthew1:25 しかし、子が生れるまでは、彼女を知ることはなかった。そして、その子をイエスと名づけた。 
Matthew2:1 イエスがヘロデ王の代に、ユダヤのベツレヘムでお生れになったとき、見よ、東からきた博士たちがエルサレムに着いて言った、 
Matthew2:2 「ユダヤ人の王としてお生れになったかたは、どこにおられますか。わたしたちは東の方でその星を見たので、そのかたを拝みにきました」。 
Matthew2:3 ヘロデ王はこのことを聞いて不安を感じた。エルサレムの人々もみな、同様であった。 
Matthew2:4 そこで王は祭司長たちと民の律法学者たちとを全部集めて、キリストはどこに生れるのかと、彼らに問いただした。 
Matthew2:5 彼らは王に言った、「それはユダヤのベツレヘムです。預言者がこうしるしています、 
Matthew2:6 『ユダの地、ベツレヘムよ、おまえはユダの君たちの中で、決して最も小さいものではない。おまえの中からひとりの君が出て、わが民イスラエルの牧者となるであろう』」。 
Matthew2:7 そこで、ヘロデはひそかに博士たちを呼んで、星の現れた時について詳しく聞き、 
Matthew2:8 彼らをベツレヘムにつかわして言った、「行って、その幼な子のことを詳しく調べ、見つかったらわたしに知らせてくれ。わたしも拝みに行くから」。 
Matthew2:9 彼らは王の言うことを聞いて出かけると、見よ、彼らが東方で見た星が、彼らより先に進んで、幼な子のいる所まで行き、その上にとどまった。 
Matthew2:10 彼らはその星を見て、非常な喜びにあふれた。 
Matthew2:11 そして、家にはいって、母マリヤのそばにいる幼な子に会い、ひれ伏して拝み、また、宝の箱をあけて、黄金・乳香・没薬などの贈り物をささげた。 
Matthew2:12 そして、夢でヘロデのところに帰るなとのみ告げを受けたので、他の道をとおって自分の国へ帰って行った。 
Matthew2:13 彼らが帰って行ったのち、見よ、主の使が夢でヨセフに現れて言った、「立って、幼な子とその母を連れて、エジプトに逃げなさい。そして、あなたに知らせるまで、そこにとどまっていなさい。ヘロデが幼な子を捜し出して、殺そうとしている」。 
Matthew2:14 そこで、ヨセフは立って、夜の間に幼な子とその母とを連れてエジプトへ行き、 
Matthew2:15 ヘロデが死ぬまでそこにとどまっていた。それは、主が預言者によって「エジプトからわが子を呼び出した」と言われたことが、成就するためである。 
Matthew2:16 さて、ヘロデは博士たちにだまされたと知って、非常に立腹した。そして人々をつかわし、博士たちから確かめた時に基いて、ベツレヘムとその附近の地方とにいる二歳以下の男の子を、ことごとく殺した。 
Matthew2:17 こうして、預言者エレミヤによって言われたことが、成就したのである。 
Matthew2:18 「叫び泣く大いなる悲しみの声が ラマで聞えた。ラケルはその子らのためになげいた。子らがもはやいないので、慰められることさえ願わなかった」。 
Matthew2:19 さて、ヘロデが死んだのち、見よ、主の使がエジプトにいるヨセフに夢で現れて言った、 
Matthew2:20 「立って、幼な子とその母を連れて、イスラエルの地に行け。幼な子の命をねらっていた人々は、死んでしまった」。 
Matthew2:21 そこでヨセフは立って、幼な子とその母とを連れて、イスラエルの地に帰った。 
Matthew2:22 しかし、アケラオがその父ヘロデに代ってユダヤを治めていると聞いたので、そこへ行くことを恐れた。そして夢でみ告げを受けたので、ガリラヤの地方に退き、 
Matthew2:23 ナザレという町に行って住んだ。これは預言者たちによって、「彼はナザレ人と呼ばれるであろう」と言われたことが、成就するためである。 
Matthew3:1 そのころ、バプテスマのヨハネが現れ、ユダヤの荒野で教を宣べて言った、 
Matthew3:2 「悔い改めよ、天国は近づいた」。 
Matthew3:3 預言者イザヤによって、「荒野で呼ばわる者の声がする、『主の道を備えよ、その道筋をまっすぐにせよ』」と言われたのは、この人のことである。 
Matthew3:4 このヨハネは、らくだの毛ごろもを着物にし、腰に皮の帯をしめ、いなごと野蜜とを食物としていた。 
Matthew3:5 すると、エルサレムとユダヤ全土とヨルダン附近一帯の人々が、ぞくぞくとヨハネのところに出てきて、 
Matthew3:6 自分の罪を告白し、ヨルダン川でヨハネからバプテスマを受けた。 
Matthew3:7 ヨハネは、パリサイ人やサドカイ人が大ぜいバプテスマを受けようとしてきたのを見て、彼らに言った、「まむしの子らよ、迫ってきている神の怒りから、おまえたちはのがれられると、だれが教えたのか。 
Matthew3:8 だから、悔改めにふさわしい実を結べ。 
Matthew3:9 自分たちの父にはアブラハムがあるなどと、心の中で思ってもみるな。おまえたちに言っておく、神はこれらの石ころからでも、アブラハムの子を起すことができるのだ。 
Matthew3:10 斧がすでに木の根もとに置かれている。だから、良い実を結ばない木はことごとく切られて、火の中に投げ込まれるのだ。 
Matthew3:11 わたしは悔改めのために、水でおまえたちにバプテスマを授けている。しかし、わたしのあとから来る人はわたしよりも力のあるかたで、わたしはそのくつをぬがせてあげる値うちもない。このかたは、聖霊と火とによっておまえたちにバプテスマをお授けになるであろう。 
Matthew3:12 また、箕を手に持って、打ち場の麦をふるい分け、麦は倉に納め、からは消えない火で焼き捨てるであろう」。 
Matthew3:13 そのときイエスは、ガリラヤを出てヨルダン川に現れ、ヨハネのところにきて、バプテスマを受けようとされた。 
Matthew3:14 ところがヨハネは、それを思いとどまらせようとして言った、「わたしこそあなたからバプテスマを受けるはずですのに、あなたがわたしのところにおいでになるのですか」。 
Matthew3:15 しかし、イエスは答えて言われた、「今は受けさせてもらいたい。このように、すべての正しいことを成就するのは、われわれにふさわしいことである」。そこでヨハネはイエスの言われるとおりにした。 
Matthew3:16 イエスはバプテスマを受けるとすぐ、水から上がられた。すると、見よ、天が開け、神の御霊がはとのように自分の上に下ってくるのを、ごらんになった。 
Matthew3:17 また天から声があって言った、「これはわたしの愛する子、わたしの心にかなう者である」。 
Matthew4:1 さて、イエスは御霊によって荒野に導かれた。悪魔に試みられるためである。 
Matthew4:2 そして、四十日四十夜、断食をし、そののち空腹になられた。 
Matthew4:3 すると試みる者がきて言った、「もしあなたが神の子であるなら、これらの石がパンになるように命じてごらんなさい」。 
Matthew4:4 イエスは答えて言われた、「『人はパンだけで生きるものではなく、神の口から出る一つ一つの言で生きるものである』と書いてある」。 
Matthew4:5 それから悪魔は、イエスを聖なる都に連れて行き、宮の頂上に立たせて 
Matthew4:6 言った、「もしあなたが神の子であるなら、下へ飛びおりてごらんなさい。『神はあなたのために御使たちにお命じになると、あなたの足が石に打ちつけられないように、彼らはあなたを手でささえるであろう』 と書いてありますから」。 
Matthew4:7 イエスは彼に言われた、「『主なるあなたの神を試みてはならない』とまた書いてある」。 
Matthew4:8 次に悪魔は、イエスを非常に高い山に連れて行き、この世のすべての国々とその栄華とを見せて 
Matthew4:9 言った、「もしあなたが、ひれ伏してわたしを拝むなら、これらのものを皆あなたにあげましょう」。 
Matthew4:10 するとイエスは彼に言われた、「サタンよ、退け。『主なるあなたの神を拝し、ただ神にのみ仕えよ』と書いてある」。 
Matthew4:11 そこで、悪魔はイエスを離れ去り、そして、御使たちがみもとにきて仕えた。 
Matthew4:12 さて、イエスはヨハネが捕えられたと聞いて、ガリラヤへ退かれた。 
Matthew4:13 そしてナザレを去り、ゼブルンとナフタリとの地方にある海べの町カペナウムに行って住まわれた。 
Matthew4:14 これは預言者イザヤによって言われた言が、成就するためである。 
Matthew4:15 「ゼブルンの地、ナフタリの地、海に沿う地方、ヨルダンの向こうの地、異邦人のガリラヤ、 
Matthew4:16 暗黒の中に住んでいる民は大いなる光を見、死の地、死の陰に住んでいる人々に、光がのぼった」。 
Matthew4:17 この時からイエスは教を宣べはじめて言われた、「悔い改めよ、天国は近づいた」。 
Matthew4:18 さて、イエスがガリラヤの海べを歩いておられると、ふたりの兄弟、すなわち、ペテロと呼ばれたシモンとその兄弟アンデレとが、海に網を打っているのをごらんになった。彼らは漁師であった。 
Matthew4:19 イエスは彼らに言われた、「わたしについてきなさい。あなたがたを、人間をとる漁師にしてあげよう」。 
Matthew4:20 すると、彼らはすぐに網を捨てて、イエスに従った。 
Matthew4:21 そこから進んで行かれると、ほかのふたりの兄弟、すなわち、ゼベダイの子ヤコブとその兄弟ヨハネとが、父ゼベダイと一緒に、舟の中で網を繕っているのをごらんになった。そこで彼らをお招きになると、 
Matthew4:22 すぐ舟と父とをおいて、イエスに従って行った。 
Matthew4:23 イエスはガリラヤの全地を巡り歩いて、諸会堂で教え、御国の福音を宣べ伝え、民の中のあらゆる病気、あらゆるわずらいをおいやしになった。 
Matthew4:24 そこで、その評判はシリヤ全地にひろまり、人々があらゆる病にかかっている者、すなわち、いろいろの病気と苦しみとに悩んでいる者、悪霊につかれている者、てんかん、中風の者などをイエスのところに連れてきたので、これらの人々をおいやしになった。 
Matthew4:25 こうして、ガリラヤ、デカポリス、エルサレム、ユダヤ及びヨルダンの向こうから、おびただしい群衆がきてイエスに従った。 
Matthew5:1 イエスはこの群衆を見て、山に登り、座につかれると、弟子たちがみもとに近寄ってきた。 
Matthew5:2 そこで、イエスは口を開き、彼らに教えて言われた。 
Matthew5:3 「こころの貧しい人たちは、さいわいである、天国は彼らのものである。 
Matthew5:4 悲しんでいる人たちは、さいわいである、彼らは慰められるであろう。 
Matthew5:5 柔和な人たちは、さいわいである、彼らは地を受けつぐであろう。 
Matthew5:6 義に飢えかわいている人たちは、さいわいである、彼らは飽き足りるようになるであろう。 
Matthew5:7 あわれみ深い人たちは、さいわいである、彼らはあわれみを受けるであろう。 
Matthew5:8 心の清い人たちは、さいわいである、彼らは神を見るであろう。 
Matthew5:9 平和をつくり出す人たちは、さいわいである、彼らは神の子と呼ばれるであろう。 
Matthew5:10 義のために迫害されてきた人たちは、さいわいである、天国は彼らのものである。 
Matthew5:11 わたしのために人々があなたがたをののしり、また迫害し、あなたがたに対し偽って様々の悪口を言う時には、あなたがたは、さいわいである。 
Matthew5:12 喜び、よろこべ、天においてあなたがたの受ける報いは大きい。あなたがたより前の預言者たちも、同じように迫害されたのである。 
Matthew5:13 あなたがたは、地の塩である。もし塩のききめがなくなったら、何によってその味が取りもどされようか。もはや、なんの役にも立たず、ただ外に捨てられて、人々にふみつけられるだけである。 
Matthew5:14 あなたがたは、世の光である。山の上にある町は隠れることができない。 
Matthew5:15 また、あかりをつけて、それを枡の下におく者はいない。むしろ燭台の上において、家の中のすべてのものを照させるのである。 
Matthew5:16 そのように、あなたがたの光を人々の前に輝かし、そして、人々があなたがたのよいおこないを見て、天にいますあなたがたの父をあがめるようにしなさい。 
Matthew5:17 わたしが律法や預言者を廃するためにきた、と思ってはならない。廃するためではなく、成就するためにきたのである。 
Matthew5:18 よく言っておく。天地が滅び行くまでは、律法の一点、一画もすたることはなく、ことごとく全うされるのである。 
Matthew5:19 それだから、これらの最も小さいいましめの一つでも破り、またそうするように人に教えたりする者は、天国で最も小さい者と呼ばれるであろう。しかし、これをおこないまたそう教える者は、天国で大いなる者と呼ばれるであろう。 
Matthew5:20 わたしは言っておく。あなたがたの義が律法学者やパリサイ人の義にまさっていなければ、決して天国に、はいることはできない。 
Matthew5:21 昔の人々に『殺すな。殺す者は裁判を受けねばならない』と言われていたことは、あなたがたの聞いているところである。 
Matthew5:22 しかし、わたしはあなたがたに言う。兄弟に対して怒る者は、だれでも裁判を受けねばならない。兄弟にむかって愚か者と言う者は、議会に引きわたされるであろう。また、ばか者と言う者は、地獄の火に投げ込まれるであろう。 
Matthew5:23 だから、祭壇に供え物をささげようとする場合、兄弟が自分に対して何かうらみをいだいていることを、そこで思い出したなら、 
Matthew5:24 その供え物を祭壇の前に残しておき、まず行ってその兄弟と和解し、それから帰ってきて、供え物をささげることにしなさい。 
Matthew5:25 あなたを訴える者と一緒に道を行く時には、その途中で早く仲直りをしなさい。そうしないと、その訴える者はあなたを裁判官にわたし、裁判官は下役にわたし、そして、あなたは獄に入れられるであろう。 
Matthew5:26 よくあなたに言っておく。最後の一コドラントを支払ってしまうまでは、決してそこから出てくることはできない。 
Matthew5:27 『姦淫するな』と言われていたことは、あなたがたの聞いているところである。 
Matthew5:28 しかし、わたしはあなたがたに言う。だれでも、情欲をいだいて女を見る者は、心の中ですでに姦淫をしたのである。 
Matthew5:29 もしあなたの右の目が罪を犯させるなら、それを抜き出して捨てなさい。五体の一部を失っても、全身が地獄に投げ入れられない方が、あなたにとって益である。 
Matthew5:30 もしあなたの右の手が罪を犯させるなら、それを切って捨てなさい。五体の一部を失っても、全身が地獄に落ち込まない方が、あなたにとって益である。 
Matthew5:31 また『妻を出す者は離縁状を渡せ』と言われている。 
Matthew5:32 しかし、わたしはあなたがたに言う。だれでも、不品行以外の理由で自分の妻を出す者は、姦淫を行わせるのである。また出された女をめとる者も、姦淫を行うのである。 
Matthew5:33 また昔の人々に『いつわり誓うな、誓ったことは、すべて主に対して果せ』と言われていたことは、あなたがたの聞いているところである。 
Matthew5:34 しかし、わたしはあなたがたに言う。いっさい誓ってはならない。天をさして誓うな。そこは神の御座であるから。 
Matthew5:35 また地をさして誓うな。そこは神の足台であるから。またエルサレムをさして誓うな。それは『大王の都』であるから。 
Matthew5:36 また、自分の頭をさして誓うな。あなたは髪の毛一すじさえ、白くも黒くもすることができない。 
Matthew5:37 あなたがたの言葉は、ただ、しかり、しかり、否、否、であるべきだ。それ以上に出ることは、悪から来るのである。 
Matthew5:38 『目には目を、歯には歯を』と言われていたことは、あなたがたの聞いているところである。 
Matthew5:39 しかし、わたしはあなたがたに言う。悪人に手向かうな。もし、だれかがあなたの右の頬を打つなら、ほかの頬をも向けてやりなさい。 
Matthew5:40 あなたを訴えて、下着を取ろうとする者には、上着をも与えなさい。 
Matthew5:41 もし、だれかが、あなたをしいて一マイル行かせようとするなら、その人と共に二マイル行きなさい。 
Matthew5:42 求める者には与え、借りようとする者を断るな。 
Matthew5:43 『隣り人を愛し、敵を憎め』と言われていたことは、あなたがたの聞いているところである。 
Matthew5:44 しかし、わたしはあなたがたに言う。敵を愛し、迫害する者のために祈れ。 
Matthew5:45 こうして、天にいますあなたがたの父の子となるためである。天の父は、悪い者の上にも良い者の上にも、太陽をのぼらせ、正しい者にも正しくない者にも、雨を降らして下さるからである。 
Matthew5:46 あなたがたが自分を愛する者を愛したからとて、なんの報いがあろうか。そのようなことは取税人でもするではないか。 
Matthew5:47 兄弟だけにあいさつをしたからとて、なんのすぐれた事をしているだろうか。そのようなことは異邦人でもしているではないか。 
Matthew5:48 それだから、あなたがたの天の父が完全であられるように、あなたがたも完全な者となりなさい。 
Matthew6:1 自分の義を、見られるために人の前で行わないように、注意しなさい。もし、そうしないと、天にいますあなたがたの父から報いを受けることがないであろう。 
Matthew6:2 だから、施しをする時には、偽善者たちが人にほめられるため会堂や町の中でするように、自分の前でラッパを吹きならすな。よく言っておくが、彼らはその報いを受けてしまっている。 
Matthew6:3 あなたは施しをする場合、右の手のしていることを左の手に知らせるな。 
Matthew6:4 それは、あなたのする施しが隠れているためである。すると、隠れた事を見ておられるあなたの父は、報いてくださるであろう。 
Matthew6:5 また祈る時には、偽善者たちのようにするな。彼らは人に見せようとして、会堂や大通りのつじに立って祈ることを好む。よく言っておくが、彼らはその報いを受けてしまっている。 
Matthew6:6 あなたは祈る時、自分のへやにはいり、戸を閉じて、隠れた所においでになるあなたの父に祈りなさい。すると、隠れた事を見ておられるあなたの父は、報いてくださるであろう。 
Matthew6:7 また、祈る場合、異邦人のように、くどくどと祈るな。彼らは言葉かずが多ければ、聞きいれられるものと思っている。 
Matthew6:8 だから、彼らのまねをするな。あなたがたの父なる神は、求めない先から、あなたがたに必要なものはご存じなのである。 
Matthew6:9 だから、あなたがたはこう祈りなさい、天にいますわれらの父よ、御名があがめられますように。 
Matthew6:10 御国がきますように。みこころが天に行われるとおり、地にも行われますように。 
Matthew6:11 わたしたちの日ごとの食物を、きょうもお与えください。 
Matthew6:12 わたしたちに負債のある者をゆるしましたように、わたしたちの負債をもおゆるしください。 
Matthew6:13 わたしたちを試みに会わせないで、悪しき者からお救いください。 
Matthew6:14 もしも、あなたがたが、人々のあやまちをゆるすならば、あなたがたの天の父も、あなたがたをゆるして下さるであろう。 
Matthew6:15 もし人をゆるさないならば、あなたがたの父も、あなたがたのあやまちをゆるして下さらないであろう。 
Matthew6:16 また断食をする時には、偽善者がするように、陰気な顔つきをするな。彼らは断食をしていることを人に見せようとして、自分の顔を見苦しくするのである。よく言っておくが、彼らはその報いを受けてしまっている。 
Matthew6:17 あなたがたは断食をする時には、自分の頭に油を塗り、顔を洗いなさい。 
Matthew6:18 それは断食をしていることが人に知れないで、隠れた所においでになるあなたの父に知られるためである。すると、隠れた事を見ておられるあなたの父は、報いて下さるであろう。 
Matthew6:19 あなたがたは自分のために、虫が食い、さびがつき、また、盗人らが押し入って盗み出すような地上に、宝をたくわえてはならない。 
Matthew6:20 むしろ自分のため、虫も食わず、さびもつかず、また、盗人らが押し入って盗み出すこともない天に、宝をたくわえなさい。 
Matthew6:21 あなたの宝のある所には、心もあるからである。 
Matthew6:22 目はからだのあかりである。だから、あなたの目が澄んでおれば、全身も明るいだろう。 
Matthew6:23 しかし、あなたの目が悪ければ、全身も暗いだろう。だから、もしあなたの内なる光が暗ければ、その暗さは、どんなであろう。 
Matthew6:24 だれも、ふたりの主人に兼ね仕えることはできない。一方を憎んで他方を愛し、あるいは、一方に親しんで他方をうとんじるからである。あなたがたは、神と富とに兼ね仕えることはできない。 
Matthew6:25 それだから、あなたがたに言っておく。何を食べようか、何を飲もうかと、自分の命のことで思いわずらい、何を着ようかと自分のからだのことで思いわずらうな。命は食物にまさり、からだは着物にまさるではないか。 
Matthew6:26 空の鳥を見るがよい。まくことも、刈ることもせず、倉に取りいれることもしない。それだのに、あなたがたの天の父は彼らを養っていて下さる。あなたがたは彼らよりも、はるかにすぐれた者ではないか。 
Matthew6:27 あなたがたのうち、だれが思いわずらったからとて、自分の寿命をわずかでも延ばすことができようか。 
Matthew6:28 また、なぜ、着物のことで思いわずらうのか。野の花がどうして育っているか、考えて見るがよい。働きもせず、紡ぎもしない。 
Matthew6:29 しかし、あなたがたに言うが、栄華をきわめた時のソロモンでさえ、この花の一つほどにも着飾ってはいなかった。 
Matthew6:30 きょうは生えていて、あすは炉に投げ入れられる野の草でさえ、神はこのように装って下さるのなら、あなたがたに、それ以上よくしてくださらないはずがあろうか。ああ、信仰の薄い者たちよ。 
Matthew6:31 だから、何を食べようか、何を飲もうか、あるいは何を着ようかと言って思いわずらうな。 
Matthew6:32 これらのものはみな、異邦人が切に求めているものである。あなたがたの天の父は、これらのものが、ことごとくあなたがたに必要であることをご存じである。 
Matthew6:33 まず神の国と神の義とを求めなさい。そうすれば、これらのものは、すべて添えて与えられるであろう。 
Matthew6:34 だから、あすのことを思いわずらうな。あすのことは、あす自身が思いわずらうであろう。一日の苦労は、その日一日だけで十分である。 
Matthew7:1 人をさばくな。自分がさばかれないためである。 
Matthew7:2 あなたがたがさばくそのさばきで、自分もさばかれ、あなたがたの量るそのはかりで、自分にも量り与えられるであろう。 
Matthew7:3 なぜ、兄弟の目にあるちりを見ながら、自分の目にある梁を認めないのか。 
Matthew7:4 自分の目には梁があるのに、どうして兄弟にむかって、あなたの目からちりを取らせてください、と言えようか。 
Matthew7:5 偽善者よ、まず自分の目から梁を取りのけるがよい。そうすれば、はっきり見えるようになって、兄弟の目からちりを取りのけることができるだろう。 
Matthew7:6 聖なるものを犬にやるな。また真珠を豚に投げてやるな。恐らく彼らはそれらを足で踏みつけ、向きなおってあなたがたにかみついてくるであろう。 
Matthew7:7 求めよ、そうすれば、与えられるであろう。捜せ、そうすれば、見いだすであろう。門をたたけ、そうすれば、あけてもらえるであろう。 
Matthew7:8 すべて求める者は得、捜す者は見いだし、門をたたく者はあけてもらえるからである。 
Matthew7:9 あなたがたのうちで、自分の子がパンを求めるのに、石を与える者があろうか。 
Matthew7:10 魚を求めるのに、へびを与える者があろうか。 
Matthew7:11 このように、あなたがたは悪い者であっても、自分の子供には、良い贈り物をすることを知っているとすれば、天にいますあなたがたの父はなおさら、求めてくる者に良いものを下さらないことがあろうか。 
Matthew7:12 だから、何事でも人々からしてほしいと望むことは、人々にもそのとおりにせよ。これが律法であり預言者である。 
Matthew7:13 狭い門からはいれ。滅びにいたる門は大きく、その道は広い。そして、そこからはいって行く者が多い。 
Matthew7:14 命にいたる門は狭く、その道は細い。そして、それを見いだす者が少ない。 
Matthew7:15 にせ預言者を警戒せよ。彼らは、羊の衣を着てあなたがたのところに来るが、その内側は強欲なおおかみである。 
Matthew7:16 あなたがたは、その実によって彼らを見わけるであろう。茨からぶどうを、あざみからいちじくを集める者があろうか。 
Matthew7:17 そのように、すべて良い木は良い実を結び、悪い木は悪い実を結ぶ。 
Matthew7:18 良い木が悪い実をならせることはないし、悪い木が良い実をならせることはできない。 
Matthew7:19 良い実を結ばない木はことごとく切られて、火の中に投げ込まれる。 
Matthew7:20 このように、あなたがたはその実によって彼らを見わけるのである。 
Matthew7:21 わたしにむかって『主よ、主よ』と言う者が、みな天国にはいるのではなく、ただ、天にいますわが父の御旨を行う者だけが、はいるのである。 
Matthew7:22 その日には、多くの者が、わたしにむかって『主よ、主よ、わたしたちはあなたの名によって預言したではありませんか。また、あなたの名によって悪霊を追い出し、あなたの名によって多くの力あるわざを行ったではありませんか』と言うであろう。 
Matthew7:23 そのとき、わたしは彼らにはっきり、こう言おう、『あなたがたを全く知らない。不法を働く者どもよ、行ってしまえ』。 
Matthew7:24 それで、わたしのこれらの言葉を聞いて行うものを、岩の上に自分の家を建てた賢い人に比べることができよう。 
Matthew7:25 雨が降り、洪水が押し寄せ、風が吹いてその家に打ちつけても、倒れることはない。岩を土台としているからである。 
Matthew7:26 また、わたしのこれらの言葉を聞いても行わない者を、砂の上に自分の家を建てた愚かな人に比べることができよう。 
Matthew7:27 雨が降り、洪水が押し寄せ、風が吹いてその家に打ちつけると、倒れてしまう。そしてその倒れ方はひどいのである」。 
Matthew7:28 イエスがこれらの言を語り終えられると、群衆はその教にひどく驚いた。 
Matthew7:29 それは律法学者たちのようにではなく、権威ある者のように、教えられたからである。 
Matthew8:1 イエスが山をお降りになると、おびただしい群衆がついてきた。 
Matthew8:2 すると、そのとき、ひとりの重い皮膚病にかかった人がイエスのところにきて、ひれ伏して言った、「主よ、みこころでしたら、きよめていただけるのですが」。 
Matthew8:3 イエスは手を伸ばして、彼にさわり、「そうしてあげよう、きよくなれ」と言われた。すると、重い皮膚病は直ちにきよめられた。 
Matthew8:4 イエスは彼に言われた、「だれにも話さないように、注意しなさい。ただ行って、自分のからだを祭司に見せ、それから、モーセが命じた供え物をささげて、人々に証明しなさい」。 
Matthew8:5 さて、イエスがカペナウムに帰ってこられたとき、ある百卒長がみもとにきて訴えて言った、 
Matthew8:6 「主よ、わたしの僕が中風でひどく苦しんで、家に寝ています」。 
Matthew8:7 イエスは彼に、「わたしが行ってなおしてあげよう」と言われた。 
Matthew8:8 そこで百卒長は答えて言った、「主よ、わたしの屋根の下にあなたをお入れする資格は、わたしにはございません。ただ、お言葉を下さい。そうすれば僕はなおります。 
Matthew8:9 わたしも権威の下にある者ですが、わたしの下にも兵卒がいまして、ひとりの者に『行け』と言えば行き、ほかの者に『こい』と言えばきますし、また、僕に『これをせよ』と言えば、してくれるのです」。 
Matthew8:10 イエスはこれを聞いて非常に感心され、ついてきた人々に言われた、「よく聞きなさい。イスラエル人の中にも、これほどの信仰を見たことがない。 
Matthew8:11 なお、あなたがたに言うが、多くの人が東から西からきて、天国で、アブラハム、イサク、ヤコブと共に宴会の席につくが、 
Matthew8:12 この国の子らは外のやみに追い出され、そこで泣き叫んだり、歯がみをしたりするであろう」。 
Matthew8:13 それからイエスは百卒長に「行け、あなたの信じたとおりになるように」と言われた。すると、ちょうどその時に、僕はいやされた。 
Matthew8:14 それから、イエスはペテロの家にはいって行かれ、そのしゅうとめが熱病で、床についているのをごらんになった。 
Matthew8:15 そこで、その手にさわられると、熱が引いた。そして女は起きあがってイエスをもてなした。 
Matthew8:16 夕暮になると、人々は悪霊につかれた者を大ぜい、みもとに連れてきたので、イエスはみ言葉をもって霊どもを追い出し、病人をことごとくおいやしになった。 
Matthew8:17 これは、預言者イザヤによって「彼は、わたしたちのわずらいを身に受け、わたしたちの病を負うた」と言われた言葉が成就するためである。 
Matthew8:18 イエスは、群衆が自分のまわりに群がっているのを見て、向こう岸に行くようにと弟子たちにお命じになった。 
Matthew8:19 するとひとりの律法学者が近づいてきて言った、「先生、あなたがおいでになる所なら、どこへでも従ってまいります」。 
Matthew8:20 イエスはその人に言われた、「きつねには穴があり、空の鳥には巣がある。しかし、人の子にはまくらする所がない」。 
Matthew8:21 また弟子のひとりが言った、「主よ、まず、父を葬りに行かせて下さい」。 
Matthew8:22 イエスは彼に言われた、「わたしに従ってきなさい。そして、その死人を葬ることは、死人に任せておくがよい」。 
Matthew8:23 それから、イエスが舟に乗り込まれると、弟子たちも従った。 
Matthew8:24 すると突然、海上に激しい暴風が起って、舟は波にのまれそうになった。ところが、イエスは眠っておられた。 
Matthew8:25 そこで弟子たちはみそばに寄ってきてイエスを起し、「主よ、お助けください、わたしたちは死にそうです」と言った。 
Matthew8:26 するとイエスは彼らに言われた、「なぜこわがるのか、信仰の薄い者たちよ」。それから起きあがって、風と海とをおしかりになると、大なぎになった。 
Matthew8:27 彼らは驚いて言った、「このかたはどういう人なのだろう。風も海も従わせるとは」。 
